"Part","Value","Device","Package","Description","ARROW_PART_NUMBER","ARROW_PRICE-STOCK","BUILT_BY","CATEGORY","COLOR","CONTACTS","COPYRIGHT","CURRENT_RATING","DATASHEET-URL","DESCRIPTION","DRAIN_CURRENT","FORWARD_CURRENT","GENDER","HEIGHT","MANUFACTURER","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MOUNT_TYPE","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","OPERATING_TEMP","OPERATION-FORCE","PART-NUMBER","PART_STATUS","POPULARITY","QTY","REFDES","REVERSE_VOLTAGE","ROHS_COMPLIANT","SERIES","SPICEPREFIX","SUB-CATEGORY","THERMALLOSS","TYPE","VALUE","VENDOR","VOLTAGE_RATING",
"X101","","PINHD-1X3","1X03","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","",
"X201","M701-330442","M701-330442","M701-330442","USB(2.0) Type-B, RCPT, 4POS, THT-VERT","","","","Connector","","4","","1.5A","","CONN RCPT USB2.0 TYPEB 4POS VERT","","","Receptacle","","Harwin","","","","","Vertical","","","M701-330442","","","-55°C to +85°C","","","Active","","","","","RoHS Compliant","-","","USB","","USB-B","","","30VAC/DC",
"X202","","PINHD-1X6","1X06","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","","","","","","","","","","","","",
"X401","SPT2,5/3-V-5,0","SPT2,5/3-V-5,0","SPT2,5/3-V-5,0","SPT 2,5/ 3-V-5,0","1991105","https://www.arrow.com/en/products/1991105/phoenix-contact?region=nac","","","","","","","","PCB terminal block, nominal current: 24 A, rated voltage (III/2): 400 V, nominal cross section: 2.5 mm?, Number of potentials: 3, Number of rows: 1, Number of positions per row: 3, product range: SPT 2,5/..-V, pitch: 5 mm, connection method: Push-in spring connection, mounting: Wave soldering, conductor/PCB connection direction: 90 ?, color: green, Pin layout: Linear double pinning, Solder pin [P]: 2.5 mm, type of packaging: packed in cardboard","","","","14.4mm","","Phoenix Contact","1991105","","","","651-1991105","https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1991105?qs=HG6crFoccqodg51MDMYEiw%3D%3D","","","","","","","","","","","","","","","","","","","","",
"X411","SPT2,5/3-V-5,0","SPT2,5/3-V-5,0","SPT2,5/3-V-5,0","SPT 2,5/ 3-V-5,0","1991105","https://www.arrow.com/en/products/1991105/phoenix-contact?region=nac","","","","","","","","PCB terminal block, nominal current: 24 A, rated voltage (III/2): 400 V, nominal cross section: 2.5 mm?, Number of potentials: 3, Number of rows: 1, Number of positions per row: 3, product range: SPT 2,5/..-V, pitch: 5 mm, connection method: Push-in spring connection, mounting: Wave soldering, conductor/PCB connection direction: 90 ?, color: green, Pin layout: Linear double pinning, Solder pin [P]: 2.5 mm, type of packaging: packed in cardboard","","","","14.4mm","","Phoenix Contact","1991105","","","","651-1991105","https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1991105?qs=HG6crFoccqodg51MDMYEiw%3D%3D","","","","","","","","","","","","","","","","","","","","",
"X412","SPT2,5/3-V-5,0","SPT2,5/3-V-5,0","SPT2,5/3-V-5,0","SPT 2,5/ 3-V-5,0","1991105","https://www.arrow.com/en/products/1991105/phoenix-contact?region=nac","","","","","","","","PCB terminal block, nominal current: 24 A, rated voltage (III/2): 400 V, nominal cross section: 2.5 mm?, Number of potentials: 3, Number of rows: 1, Number of positions per row: 3, product range: SPT 2,5/..-V, pitch: 5 mm, connection method: Push-in spring connection, mounting: Wave soldering, conductor/PCB connection direction: 90 ?, color: green, Pin layout: Linear double pinning, Solder pin [P]: 2.5 mm, type of packaging: packed in cardboard","","","","14.4mm","","Phoenix Contact","1991105","","","","651-1991105","https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1991105?qs=HG6crFoccqodg51MDMYEiw%3D%3D","","","","","","","","","","","","","","","","","","","","",
"X501","","PINHD-1X3","1X03","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","",
"X502","","PINHD-1X3","1X03","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","",
"X503","","PINHD-1X3","1X03","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","",
"X504","","PINHD-1X3","1X03","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","",
"X505","","PINHD-1X3","1X03","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","",
